B365H,B365D,B365A,Result
4.75,4.2,1.75,1
3.1,3.75,2.29,1
1.22,7.0,15.0,1
1.5,4.75,7.0,1
6.5,3.89,1.61,3
7.5,3.89,1.57,3
2.14,3.2,4.0,2
1.85,3.89,4.33,1
1.12,10.0,26.0,1
2.04,3.39,4.09,1
2.0,3.6,4.0,2
5.75,4.09,1.64,2
12.0,5.75,1.3,1
12.0,5.75,1.3,3
7.0,4.59,1.5,1
3.1,3.25,2.54,2
1.28,6.5,11.0,3
3.0,3.2,2.62,1
1.14,10.0,21.0,1
2.2,3.2,3.89,2
1.75,3.5,6.0,2
2.25,3.5,3.39,2
2.35,3.29,3.39,1
1.3,5.75,12.0,1
1.9,3.7,4.33,1
2.35,3.0,3.7,1
13.0,6.0,1.28,2
1.8,3.6,5.25,2
1.16,8.5,19.0,1
2.54,3.2,3.1,3
2.04,3.39,4.2,2
2.1,3.75,3.6,2
6.25,4.0,1.61,1
2.25,3.25,3.2,1
1.19,6.5,13.0,1
2.2,3.2,3.39,2
2.37,3.0,3.25,1
2.0,3.6,3.5,1
2.5,3.29,2.79,1
3.25,3.2,2.25,1
5.5,3.75,1.61,1
4.2,3.79,1.8,3
1.36,4.75,8.0,1
2.1,3.5,3.79,2
2.14,3.25,4.0,1
2.89,3.1,2.79,2
1.72,3.89,5.25,2
1.22,7.5,13.0,1
2.25,3.39,3.5,1
1.95,3.29,4.75,3
7.5,4.5,1.5,3
2.29,3.25,3.5,1
4.5,4.0,1.72,3
2.5,3.1,3.29,1
1.85,3.75,4.5,2
1.22,7.0,15.0,1
1.75,3.75,5.25,2
2.6,3.25,3.0,1
1.19,7.5,17.0,1
2.14,3.29,3.89,1
4.2,3.79,1.9,1
1.61,4.2,6.0,1
7.0,4.0,1.57,3
1.3,5.75,12.0,1
2.2,3.2,3.89,1
2.54,3.1,3.2,2
2.75,3.39,2.75,1
2.79,3.2,2.79,1
3.0,3.25,2.6,3
2.29,3.2,3.6,3
1.44,5.0,7.5,1
6.5,4.5,1.55,3
15.0,6.5,1.25,3
1.83,3.6,5.0,1
3.0,3.1,2.7,3
1.19,8.0,15.0,1
2.5,3.29,3.1,3
2.7,3.2,2.62,3
7.0,4.33,1.44,3
9.0,5.0,1.33,3
1.25,6.0,10.0,1
1.75,3.39,5.0,1
2.29,3.29,3.1,2
2.5,3.0,3.1,3
2.7,3.25,2.6,1
1.28,5.5,10.0,1
2.29,3.29,3.1,3
2.5,3.39,3.0,2
1.85,3.5,5.0,2
4.2,3.75,1.9,2
1.95,3.6,4.2,3
1.89,3.79,4.2,3
11.0,5.5,1.33,3
2.39,3.2,3.39,3
2.37,3.2,3.39,2
1.57,4.5,6.0,1
1.28,6.0,12.0,2
2.62,3.2,3.0,1
1.9,3.5,4.75,1
2.62,3.25,3.0,1
1.25,7.0,12.0,1
4.5,3.75,1.85,3
2.54,3.25,3.1,2
2.62,3.6,2.7,3
1.18,8.0,19.0,3
3.29,3.6,2.25,1
2.0,3.6,4.0,2
6.5,4.33,1.55,2
5.0,3.89,1.75,3
4.0,3.39,1.9,3
2.25,3.29,3.2,2
2.89,3.39,2.54,2
7.5,4.5,1.5,2
1.55,4.59,6.0,1
1.14,9.0,23.0,1
2.29,3.29,3.5,2
2.29,3.39,3.39,1
2.25,3.2,3.7,2
2.04,3.6,3.79,1
2.62,3.1,3.1,3
1.33,5.75,10.0,2
1.85,3.6,4.75,3
1.72,4.0,5.0,1
7.0,4.33,1.53,3
1.44,4.75,8.0,1
10.0,5.75,1.33,3
1.16,8.5,21.0,1
4.75,3.6,1.85,1
2.1,3.6,3.7,1
2.89,3.29,2.62,2
2.25,3.5,3.39,3
2.7,3.39,2.79,3
2.37,3.39,3.2,1
8.0,4.75,1.44,1
1.57,4.2,6.5,1
2.25,3.6,3.29,1
1.08,13.0,34.0,2
3.1,3.25,2.54,3
1.16,8.5,19.0,2
3.75,3.79,2.0,1
1.12,10.0,27.0,1
1.18,8.5,17.0,1
4.75,3.79,1.8,2
2.14,3.5,3.6,3
1.8,3.79,4.75,1
6.0,4.33,1.6,3
1.19,8.0,15.0,1
1.39,5.25,8.5,1
6.5,4.2,1.6,1
9.0,5.0,1.39,3
1.9,3.79,4.2,3
1.33,6.0,9.0,1
2.45,3.5,3.0,1
