Date,match_time,home_team_id,home_team_name,away_team_id,away_team_name,league_id,match_day,FTHG,FTAG,status,Winner
2019-08-25,16:00:00,9,Hertha BSC,11,VfL Wolfsburg,2002,2,0,3,FINISHED,AWAY_TEAM
2019-08-30,18:30:00,18,Borussia Mönchengladbach,721,RB Leipzig,2002,3,1,3,FINISHED,AWAY_TEAM
2019-08-31,13:30:00,6,FC Schalke 04,9,Hertha BSC,2002,3,3,0,FINISHED,HOME_TEAM
2019-08-31,13:30:00,5,FC Bayern München,15,1. FSV Mainz 05,2002,3,6,1,FINISHED,HOME_TEAM
2019-08-31,13:30:00,3,Bayer 04 Leverkusen,2,TSG 1899 Hoffenheim,2002,3,0,0,FINISHED,DRAW
2019-08-31,13:30:00,17,SC Freiburg,1,1. FC Köln,2002,3,1,2,FINISHED,AWAY_TEAM
2019-08-31,13:30:00,11,VfL Wolfsburg,29,SC Paderborn 07,2002,3,1,1,FINISHED,DRAW
2019-08-31,16:30:00,28,1. FC Union Berlin,4,BV Borussia 09 Dortmund,2002,3,3,1,FINISHED,HOME_TEAM
2019-09-01,13:30:00,12,SV Werder Bremen,16,FC Augsburg,2002,3,3,2,FINISHED,HOME_TEAM
2019-09-01,16:00:00,19,Eintracht Frankfurt,24,TSV Fortuna 95 Düsseldorf,2002,3,2,1,FINISHED,HOME_TEAM
2019-09-13,18:30:00,24,TSV Fortuna 95 Düsseldorf,11,VfL Wolfsburg,2002,4,None,None,SCHEDULED,None
2019-09-14,13:30:00,1,1. FC Köln,18,Borussia Mönchengladbach,2002,4,None,None,SCHEDULED,None
2019-09-14,13:30:00,4,BV Borussia 09 Dortmund,3,Bayer 04 Leverkusen,2002,4,None,None,SCHEDULED,None
2019-09-14,13:30:00,15,1. FSV Mainz 05,9,Hertha BSC,2002,4,None,None,SCHEDULED,None
2019-09-14,13:30:00,16,FC Augsburg,19,Eintracht Frankfurt,2002,4,None,None,SCHEDULED,None
2019-09-14,13:30:00,28,1. FC Union Berlin,12,SV Werder Bremen,2002,4,None,None,SCHEDULED,None
2019-09-14,16:30:00,721,RB Leipzig,5,FC Bayern München,2002,4,None,None,SCHEDULED,None
2019-09-15,13:30:00,2,TSG 1899 Hoffenheim,17,SC Freiburg,2002,4,None,None,SCHEDULED,None
2019-09-15,16:00:00,29,SC Paderborn 07,6,FC Schalke 04,2002,4,None,None,SCHEDULED,None
2019-09-20,18:30:00,6,FC Schalke 04,15,1. FSV Mainz 05,2002,5,None,None,SCHEDULED,None
2019-09-21,13:30:00,9,Hertha BSC,29,SC Paderborn 07,2002,5,None,None,SCHEDULED,None
2019-09-21,13:30:00,5,FC Bayern München,1,1. FC Köln,2002,5,None,None,SCHEDULED,None
2019-09-21,13:30:00,3,Bayer 04 Leverkusen,28,1. FC Union Berlin,2002,5,None,None,SCHEDULED,None
2019-09-21,13:30:00,17,SC Freiburg,16,FC Augsburg,2002,5,None,None,SCHEDULED,None
2019-09-21,16:30:00,12,SV Werder Bremen,721,RB Leipzig,2002,5,None,None,SCHEDULED,None
2019-09-22,13:30:00,18,Borussia Mönchengladbach,24,TSV Fortuna 95 Düsseldorf,2002,5,None,None,SCHEDULED,None
2019-09-22,16:00:00,19,Eintracht Frankfurt,4,BV Borussia 09 Dortmund,2002,5,None,None,SCHEDULED,None
2019-09-23,18:30:00,11,VfL Wolfsburg,2,TSG 1899 Hoffenheim,2002,5,None,None,SCHEDULED,None
2019-09-27,18:30:00,28,1. FC Union Berlin,19,Eintracht Frankfurt,2002,6,None,None,SCHEDULED,None
2019-09-28,13:30:00,15,1. FSV Mainz 05,11,VfL Wolfsburg,2002,6,None,None,SCHEDULED,None
2019-09-28,13:30:00,2,TSG 1899 Hoffenheim,18,Borussia Mönchengladbach,2002,6,None,None,SCHEDULED,None
2019-09-28,13:30:00,16,FC Augsburg,3,Bayer 04 Leverkusen,2002,6,None,None,SCHEDULED,None
2019-09-28,13:30:00,29,SC Paderborn 07,5,FC Bayern München,2002,6,None,None,SCHEDULED,None
2019-09-28,13:30:00,721,RB Leipzig,6,FC Schalke 04,2002,6,None,None,SCHEDULED,None
2019-09-28,16:30:00,4,BV Borussia 09 Dortmund,12,SV Werder Bremen,2002,6,None,None,SCHEDULED,None
2019-09-29,13:30:00,24,TSV Fortuna 95 Düsseldorf,17,SC Freiburg,2002,6,None,None,SCHEDULED,None
2019-09-29,16:00:00,1,1. FC Köln,9,Hertha BSC,2002,6,None,None,SCHEDULED,None
2019-10-04,18:30:00,9,Hertha BSC,24,TSV Fortuna 95 Düsseldorf,2002,7,None,None,SCHEDULED,None
2019-10-05,13:30:00,5,FC Bayern München,2,TSG 1899 Hoffenheim,2002,7,None,None,SCHEDULED,None
2019-10-05,13:30:00,3,Bayer 04 Leverkusen,721,RB Leipzig,2002,7,None,None,SCHEDULED,None
2019-10-05,13:30:00,17,SC Freiburg,4,BV Borussia 09 Dortmund,2002,7,None,None,SCHEDULED,None
2019-10-05,13:30:00,29,SC Paderborn 07,15,1. FSV Mainz 05,2002,7,None,None,SCHEDULED,None
2019-10-05,16:30:00,6,FC Schalke 04,1,1. FC Köln,2002,7,None,None,SCHEDULED,None
2019-10-06,11:30:00,18,Borussia Mönchengladbach,16,FC Augsburg,2002,7,None,None,SCHEDULED,None
2019-10-06,13:30:00,11,VfL Wolfsburg,28,1. FC Union Berlin,2002,7,None,None,SCHEDULED,None
2019-10-06,16:00:00,19,Eintracht Frankfurt,12,SV Werder Bremen,2002,7,None,None,SCHEDULED,None
2019-10-18,18:30:00,19,Eintracht Frankfurt,3,Bayer 04 Leverkusen,2002,8,None,None,SCHEDULED,None
2019-10-19,13:30:00,12,SV Werder Bremen,9,Hertha BSC,2002,8,None,None,SCHEDULED,None
2019-10-19,13:30:00,24,TSV Fortuna 95 Düsseldorf,15,1. FSV Mainz 05,2002,8,None,None,SCHEDULED,None
2019-10-19,13:30:00,16,FC Augsburg,5,FC Bayern München,2002,8,None,None,SCHEDULED,None
2019-10-19,13:30:00,28,1. FC Union Berlin,17,SC Freiburg,2002,8,None,None,SCHEDULED,None
2019-10-19,13:30:00,721,RB Leipzig,11,VfL Wolfsburg,2002,8,None,None,SCHEDULED,None
2019-10-19,16:30:00,4,BV Borussia 09 Dortmund,18,Borussia Mönchengladbach,2002,8,None,None,SCHEDULED,None
2019-10-20,13:30:00,1,1. FC Köln,29,SC Paderborn 07,2002,8,None,None,SCHEDULED,None
2019-10-20,16:00:00,2,TSG 1899 Hoffenheim,6,FC Schalke 04,2002,8,None,None,SCHEDULED,None
2019-10-25,18:30:00,15,1. FSV Mainz 05,1,1. FC Köln,2002,9,None,None,SCHEDULED,None
2019-10-26,13:30:00,6,FC Schalke 04,4,BV Borussia 09 Dortmund,2002,9,None,None,SCHEDULED,None
2019-10-26,13:30:00,9,Hertha BSC,2,TSG 1899 Hoffenheim,2002,9,None,None,SCHEDULED,None
2019-10-26,13:30:00,5,FC Bayern München,28,1. FC Union Berlin,2002,9,None,None,SCHEDULED,None
2019-10-26,13:30:00,17,SC Freiburg,721,RB Leipzig,2002,9,None,None,SCHEDULED,None
2019-10-26,13:30:00,29,SC Paderborn 07,24,TSV Fortuna 95 Düsseldorf,2002,9,None,None,SCHEDULED,None
2019-10-26,16:30:00,3,Bayer 04 Leverkusen,12,SV Werder Bremen,2002,9,None,None,SCHEDULED,None
2019-10-27,14:30:00,11,VfL Wolfsburg,16,FC Augsburg,2002,9,None,None,SCHEDULED,None
2019-10-27,17:00:00,18,Borussia Mönchengladbach,19,Eintracht Frankfurt,2002,9,None,None,SCHEDULED,None
2019-11-01,19:30:00,2,TSG 1899 Hoffenheim,29,SC Paderborn 07,2002,10,None,None,SCHEDULED,None
2019-11-02,14:30:00,19,Eintracht Frankfurt,5,FC Bayern München,2002,10,None,None,SCHEDULED,None
2019-11-02,14:30:00,4,BV Borussia 09 Dortmund,11,VfL Wolfsburg,2002,10,None,None,SCHEDULED,None
2019-11-02,14:30:00,12,SV Werder Bremen,17,SC Freiburg,2002,10,None,None,SCHEDULED,None
2019-11-02,14:30:00,3,Bayer 04 Leverkusen,18,Borussia Mönchengladbach,2002,10,None,None,SCHEDULED,None
2019-11-02,14:30:00,721,RB Leipzig,15,1. FSV Mainz 05,2002,10,None,None,SCHEDULED,None
2019-11-02,17:30:00,28,1. FC Union Berlin,9,Hertha BSC,2002,10,None,None,SCHEDULED,None
2019-11-03,14:30:00,24,TSV Fortuna 95 Düsseldorf,1,1. FC Köln,2002,10,None,None,SCHEDULED,None
2019-11-03,17:00:00,16,FC Augsburg,6,FC Schalke 04,2002,10,None,None,SCHEDULED,None
2019-11-08,19:30:00,1,1. FC Köln,2,TSG 1899 Hoffenheim,2002,11,None,None,SCHEDULED,None
2019-11-09,14:30:00,6,FC Schalke 04,24,TSV Fortuna 95 Düsseldorf,2002,11,None,None,SCHEDULED,None
2019-11-09,14:30:00,9,Hertha BSC,721,RB Leipzig,2002,11,None,None,SCHEDULED,None
2019-11-09,14:30:00,15,1. FSV Mainz 05,28,1. FC Union Berlin,2002,11,None,None,SCHEDULED,None
2019-11-09,14:30:00,29,SC Paderborn 07,16,FC Augsburg,2002,11,None,None,SCHEDULED,None
2019-11-09,17:30:00,5,FC Bayern München,4,BV Borussia 09 Dortmund,2002,11,None,None,SCHEDULED,None
2019-11-10,12:30:00,18,Borussia Mönchengladbach,12,SV Werder Bremen,2002,11,None,None,SCHEDULED,None
2019-11-10,14:30:00,11,VfL Wolfsburg,3,Bayer 04 Leverkusen,2002,11,None,None,SCHEDULED,None
2019-11-10,17:00:00,17,SC Freiburg,19,Eintracht Frankfurt,2002,11,None,None,SCHEDULED,None
2019-11-22,19:30:00,4,BV Borussia 09 Dortmund,29,SC Paderborn 07,2002,12,None,None,SCHEDULED,None
2019-11-23,14:30:00,19,Eintracht Frankfurt,11,VfL Wolfsburg,2002,12,None,None,SCHEDULED,None
2019-11-23,14:30:00,12,SV Werder Bremen,6,FC Schalke 04,2002,12,None,None,SCHEDULED,None
2019-11-23,14:30:00,24,TSV Fortuna 95 Düsseldorf,5,FC Bayern München,2002,12,None,None,SCHEDULED,None
2019-11-23,14:30:00,3,Bayer 04 Leverkusen,17,SC Freiburg,2002,12,None,None,SCHEDULED,None
2019-11-23,14:30:00,28,1. FC Union Berlin,18,Borussia Mönchengladbach,2002,12,None,None,SCHEDULED,None
2019-11-23,17:30:00,721,RB Leipzig,1,1. FC Köln,2002,12,None,None,SCHEDULED,None
2019-11-24,14:30:00,16,FC Augsburg,9,Hertha BSC,2002,12,None,None,SCHEDULED,None
2019-11-24,17:00:00,2,TSG 1899 Hoffenheim,15,1. FSV Mainz 05,2002,12,None,None,SCHEDULED,None
2019-11-29,19:30:00,6,FC Schalke 04,28,1. FC Union Berlin,2002,13,None,None,SCHEDULED,None
2019-11-30,14:30:00,1,1. FC Köln,16,FC Augsburg,2002,13,None,None,SCHEDULED,None
2019-11-30,14:30:00,9,Hertha BSC,4,BV Borussia 09 Dortmund,2002,13,None,None,SCHEDULED,None
2019-11-30,14:30:00,2,TSG 1899 Hoffenheim,24,TSV Fortuna 95 Düsseldorf,2002,13,None,None,SCHEDULED,None
2019-11-30,14:30:00,29,SC Paderborn 07,721,RB Leipzig,2002,13,None,None,SCHEDULED,None
2019-11-30,17:30:00,5,FC Bayern München,3,Bayer 04 Leverkusen,2002,13,None,None,SCHEDULED,None
2019-12-01,14:30:00,18,Borussia Mönchengladbach,17,SC Freiburg,2002,13,None,None,SCHEDULED,None
2019-12-01,17:00:00,11,VfL Wolfsburg,12,SV Werder Bremen,2002,13,None,None,SCHEDULED,None
2019-12-02,19:30:00,15,1. FSV Mainz 05,19,Eintracht Frankfurt,2002,13,None,None,SCHEDULED,None
2019-12-07,00:00:00,19,Eintracht Frankfurt,9,Hertha BSC,2002,14,None,None,SCHEDULED,None
2019-12-07,00:00:00,4,BV Borussia 09 Dortmund,24,TSV Fortuna 95 Düsseldorf,2002,14,None,None,SCHEDULED,None
2019-12-07,00:00:00,12,SV Werder Bremen,29,SC Paderborn 07,2002,14,None,None,SCHEDULED,None
2019-12-07,00:00:00,18,Borussia Mönchengladbach,5,FC Bayern München,2002,14,None,None,SCHEDULED,None
2019-12-07,00:00:00,3,Bayer 04 Leverkusen,6,FC Schalke 04,2002,14,None,None,SCHEDULED,None
2019-12-07,00:00:00,17,SC Freiburg,11,VfL Wolfsburg,2002,14,None,None,SCHEDULED,None
2019-12-07,00:00:00,16,FC Augsburg,15,1. FSV Mainz 05,2002,14,None,None,SCHEDULED,None
2019-12-07,00:00:00,28,1. FC Union Berlin,1,1. FC Köln,2002,14,None,None,SCHEDULED,None
2019-12-07,00:00:00,721,RB Leipzig,2,TSG 1899 Hoffenheim,2002,14,None,None,SCHEDULED,None
2019-12-14,00:00:00,1,1. FC Köln,3,Bayer 04 Leverkusen,2002,15,None,None,SCHEDULED,None
2019-12-14,00:00:00,6,FC Schalke 04,19,Eintracht Frankfurt,2002,15,None,None,SCHEDULED,None
2019-12-14,00:00:00,9,Hertha BSC,17,SC Freiburg,2002,15,None,None,SCHEDULED,None
2019-12-14,00:00:00,5,FC Bayern München,12,SV Werder Bremen,2002,15,None,None,SCHEDULED,None
2019-12-14,00:00:00,24,TSV Fortuna 95 Düsseldorf,721,RB Leipzig,2002,15,None,None,SCHEDULED,None
2019-12-14,00:00:00,11,VfL Wolfsburg,18,Borussia Mönchengladbach,2002,15,None,None,SCHEDULED,None
2019-12-14,00:00:00,15,1. FSV Mainz 05,4,BV Borussia 09 Dortmund,2002,15,None,None,SCHEDULED,None
2019-12-14,00:00:00,2,TSG 1899 Hoffenheim,16,FC Augsburg,2002,15,None,None,SCHEDULED,None
2019-12-14,00:00:00,29,SC Paderborn 07,28,1. FC Union Berlin,2002,15,None,None,SCHEDULED,None
2019-12-18,00:00:00,19,Eintracht Frankfurt,1,1. FC Köln,2002,16,None,None,SCHEDULED,None
2019-12-18,00:00:00,4,BV Borussia 09 Dortmund,721,RB Leipzig,2002,16,None,None,SCHEDULED,None
2019-12-18,00:00:00,12,SV Werder Bremen,15,1. FSV Mainz 05,2002,16,None,None,SCHEDULED,None
2019-12-18,00:00:00,18,Borussia Mönchengladbach,29,SC Paderborn 07,2002,16,None,None,SCHEDULED,None
2019-12-18,00:00:00,3,Bayer 04 Leverkusen,9,Hertha BSC,2002,16,None,None,SCHEDULED,None
2019-12-18,00:00:00,17,SC Freiburg,5,FC Bayern München,2002,16,None,None,SCHEDULED,None
2019-12-18,00:00:00,11,VfL Wolfsburg,6,FC Schalke 04,2002,16,None,None,SCHEDULED,None
2019-12-18,00:00:00,16,FC Augsburg,24,TSV Fortuna 95 Düsseldorf,2002,16,None,None,SCHEDULED,None
2019-12-18,00:00:00,28,1. FC Union Berlin,2,TSG 1899 Hoffenheim,2002,16,None,None,SCHEDULED,None
2019-12-21,00:00:00,1,1. FC Köln,12,SV Werder Bremen,2002,17,None,None,SCHEDULED,None
2019-12-21,00:00:00,6,FC Schalke 04,17,SC Freiburg,2002,17,None,None,SCHEDULED,None
2019-12-21,00:00:00,9,Hertha BSC,18,Borussia Mönchengladbach,2002,17,None,None,SCHEDULED,None
2019-12-21,00:00:00,5,FC Bayern München,11,VfL Wolfsburg,2002,17,None,None,SCHEDULED,None
2019-12-21,00:00:00,24,TSV Fortuna 95 Düsseldorf,28,1. FC Union Berlin,2002,17,None,None,SCHEDULED,None
2019-12-21,00:00:00,15,1. FSV Mainz 05,3,Bayer 04 Leverkusen,2002,17,None,None,SCHEDULED,None
2019-12-21,00:00:00,2,TSG 1899 Hoffenheim,4,BV Borussia 09 Dortmund,2002,17,None,None,SCHEDULED,None
2019-12-21,00:00:00,29,SC Paderborn 07,19,Eintracht Frankfurt,2002,17,None,None,SCHEDULED,None
2019-12-21,00:00:00,721,RB Leipzig,16,FC Augsburg,2002,17,None,None,SCHEDULED,None
2020-01-18,00:00:00,1,1. FC Köln,11,VfL Wolfsburg,2002,18,None,None,SCHEDULED,None
2020-01-18,00:00:00,6,FC Schalke 04,18,Borussia Mönchengladbach,2002,18,None,None,SCHEDULED,None
2020-01-18,00:00:00,9,Hertha BSC,5,FC Bayern München,2002,18,None,None,SCHEDULED,None
2020-01-18,00:00:00,24,TSV Fortuna 95 Düsseldorf,12,SV Werder Bremen,2002,18,None,None,SCHEDULED,None
2020-01-18,00:00:00,15,1. FSV Mainz 05,17,SC Freiburg,2002,18,None,None,SCHEDULED,None
2020-01-18,00:00:00,2,TSG 1899 Hoffenheim,19,Eintracht Frankfurt,2002,18,None,None,SCHEDULED,None
2020-01-18,00:00:00,16,FC Augsburg,4,BV Borussia 09 Dortmund,2002,18,None,None,SCHEDULED,None
2020-01-18,00:00:00,29,SC Paderborn 07,3,Bayer 04 Leverkusen,2002,18,None,None,SCHEDULED,None
2020-01-18,00:00:00,721,RB Leipzig,28,1. FC Union Berlin,2002,18,None,None,SCHEDULED,None
2020-01-25,00:00:00,19,Eintracht Frankfurt,721,RB Leipzig,2002,19,None,None,SCHEDULED,None
2020-01-25,00:00:00,4,BV Borussia 09 Dortmund,1,1. FC Köln,2002,19,None,None,SCHEDULED,None
2020-01-25,00:00:00,12,SV Werder Bremen,2,TSG 1899 Hoffenheim,2002,19,None,None,SCHEDULED,None
2020-01-25,00:00:00,18,Borussia Mönchengladbach,15,1. FSV Mainz 05,2002,19,None,None,SCHEDULED,None
2020-01-25,00:00:00,5,FC Bayern München,6,FC Schalke 04,2002,19,None,None,SCHEDULED,None
2020-01-25,00:00:00,3,Bayer 04 Leverkusen,24,TSV Fortuna 95 Düsseldorf,2002,19,None,None,SCHEDULED,None
2020-01-25,00:00:00,17,SC Freiburg,29,SC Paderborn 07,2002,19,None,None,SCHEDULED,None
2020-01-25,00:00:00,11,VfL Wolfsburg,9,Hertha BSC,2002,19,None,None,SCHEDULED,None
2020-01-25,00:00:00,28,1. FC Union Berlin,16,FC Augsburg,2002,19,None,None,SCHEDULED,None
2020-02-01,00:00:00,1,1. FC Köln,17,SC Freiburg,2002,20,None,None,SCHEDULED,None
2020-02-01,00:00:00,4,BV Borussia 09 Dortmund,28,1. FC Union Berlin,2002,20,None,None,SCHEDULED,None
2020-02-01,00:00:00,9,Hertha BSC,6,FC Schalke 04,2002,20,None,None,SCHEDULED,None
2020-02-01,00:00:00,24,TSV Fortuna 95 Düsseldorf,19,Eintracht Frankfurt,2002,20,None,None,SCHEDULED,None
2020-02-01,00:00:00,15,1. FSV Mainz 05,5,FC Bayern München,2002,20,None,None,SCHEDULED,None
2020-02-01,00:00:00,2,TSG 1899 Hoffenheim,3,Bayer 04 Leverkusen,2002,20,None,None,SCHEDULED,None
2020-02-01,00:00:00,16,FC Augsburg,12,SV Werder Bremen,2002,20,None,None,SCHEDULED,None
2020-02-01,00:00:00,29,SC Paderborn 07,11,VfL Wolfsburg,2002,20,None,None,SCHEDULED,None
2020-02-01,00:00:00,721,RB Leipzig,18,Borussia Mönchengladbach,2002,20,None,None,SCHEDULED,None
2020-02-08,00:00:00,19,Eintracht Frankfurt,16,FC Augsburg,2002,21,None,None,SCHEDULED,None
2020-02-08,00:00:00,6,FC Schalke 04,29,SC Paderborn 07,2002,21,None,None,SCHEDULED,None
2020-02-08,00:00:00,12,SV Werder Bremen,28,1. FC Union Berlin,2002,21,None,None,SCHEDULED,None
2020-02-08,00:00:00,9,Hertha BSC,15,1. FSV Mainz 05,2002,21,None,None,SCHEDULED,None
2020-02-08,00:00:00,18,Borussia Mönchengladbach,1,1. FC Köln,2002,21,None,None,SCHEDULED,None
2020-02-08,00:00:00,5,FC Bayern München,721,RB Leipzig,2002,21,None,None,SCHEDULED,None
2020-02-08,00:00:00,3,Bayer 04 Leverkusen,4,BV Borussia 09 Dortmund,2002,21,None,None,SCHEDULED,None
2020-02-08,00:00:00,17,SC Freiburg,2,TSG 1899 Hoffenheim,2002,21,None,None,SCHEDULED,None
2020-02-08,00:00:00,11,VfL Wolfsburg,24,TSV Fortuna 95 Düsseldorf,2002,21,None,None,SCHEDULED,None
2020-02-15,00:00:00,1,1. FC Köln,5,FC Bayern München,2002,22,None,None,SCHEDULED,None
2020-02-15,00:00:00,4,BV Borussia 09 Dortmund,19,Eintracht Frankfurt,2002,22,None,None,SCHEDULED,None
2020-02-15,00:00:00,24,TSV Fortuna 95 Düsseldorf,18,Borussia Mönchengladbach,2002,22,None,None,SCHEDULED,None
2020-02-15,00:00:00,15,1. FSV Mainz 05,6,FC Schalke 04,2002,22,None,None,SCHEDULED,None
2020-02-15,00:00:00,2,TSG 1899 Hoffenheim,11,VfL Wolfsburg,2002,22,None,None,SCHEDULED,None
2020-02-15,00:00:00,16,FC Augsburg,17,SC Freiburg,2002,22,None,None,SCHEDULED,None
2020-02-15,00:00:00,28,1. FC Union Berlin,3,Bayer 04 Leverkusen,2002,22,None,None,SCHEDULED,None
2020-02-15,00:00:00,29,SC Paderborn 07,9,Hertha BSC,2002,22,None,None,SCHEDULED,None
2020-02-15,00:00:00,721,RB Leipzig,12,SV Werder Bremen,2002,22,None,None,SCHEDULED,None
2020-02-22,00:00:00,3,Bayer 04 Leverkusen,16,FC Augsburg,2002,23,None,None,SCHEDULED,None
2020-02-22,00:00:00,17,SC Freiburg,24,TSV Fortuna 95 Düsseldorf,2002,23,None,None,SCHEDULED,None
2020-02-22,00:00:00,11,VfL Wolfsburg,15,1. FSV Mainz 05,2002,23,None,None,SCHEDULED,None
2020-02-22,00:00:00,19,Eintracht Frankfurt,28,1. FC Union Berlin,2002,23,None,None,SCHEDULED,None
2020-02-22,00:00:00,6,FC Schalke 04,721,RB Leipzig,2002,23,None,None,SCHEDULED,None
2020-02-22,00:00:00,12,SV Werder Bremen,4,BV Borussia 09 Dortmund,2002,23,None,None,SCHEDULED,None
2020-02-22,00:00:00,9,Hertha BSC,1,1. FC Köln,2002,23,None,None,SCHEDULED,None
2020-02-22,00:00:00,18,Borussia Mönchengladbach,2,TSG 1899 Hoffenheim,2002,23,None,None,SCHEDULED,None
2020-02-22,00:00:00,5,FC Bayern München,29,SC Paderborn 07,2002,23,None,None,SCHEDULED,None
2020-02-29,00:00:00,1,1. FC Köln,6,FC Schalke 04,2002,24,None,None,SCHEDULED,None
2020-02-29,00:00:00,4,BV Borussia 09 Dortmund,17,SC Freiburg,2002,24,None,None,SCHEDULED,None
2020-02-29,00:00:00,12,SV Werder Bremen,19,Eintracht Frankfurt,2002,24,None,None,SCHEDULED,None
2020-02-29,00:00:00,24,TSV Fortuna 95 Düsseldorf,9,Hertha BSC,2002,24,None,None,SCHEDULED,None
2020-02-29,00:00:00,15,1. FSV Mainz 05,29,SC Paderborn 07,2002,24,None,None,SCHEDULED,None
2020-02-29,00:00:00,2,TSG 1899 Hoffenheim,5,FC Bayern München,2002,24,None,None,SCHEDULED,None
2020-02-29,00:00:00,16,FC Augsburg,18,Borussia Mönchengladbach,2002,24,None,None,SCHEDULED,None
2020-02-29,00:00:00,28,1. FC Union Berlin,11,VfL Wolfsburg,2002,24,None,None,SCHEDULED,None
2020-02-29,00:00:00,721,RB Leipzig,3,Bayer 04 Leverkusen,2002,24,None,None,SCHEDULED,None
2020-03-07,00:00:00,6,FC Schalke 04,2,TSG 1899 Hoffenheim,2002,25,None,None,SCHEDULED,None
2020-03-07,00:00:00,9,Hertha BSC,12,SV Werder Bremen,2002,25,None,None,SCHEDULED,None
2020-03-07,00:00:00,18,Borussia Mönchengladbach,4,BV Borussia 09 Dortmund,2002,25,None,None,SCHEDULED,None
2020-03-07,00:00:00,5,FC Bayern München,16,FC Augsburg,2002,25,None,None,SCHEDULED,None
2020-03-07,00:00:00,3,Bayer 04 Leverkusen,19,Eintracht Frankfurt,2002,25,None,None,SCHEDULED,None
2020-03-07,00:00:00,17,SC Freiburg,28,1. FC Union Berlin,2002,25,None,None,SCHEDULED,None
2020-03-07,00:00:00,11,VfL Wolfsburg,721,RB Leipzig,2002,25,None,None,SCHEDULED,None
2020-03-07,00:00:00,15,1. FSV Mainz 05,24,TSV Fortuna 95 Düsseldorf,2002,25,None,None,SCHEDULED,None
2020-03-07,00:00:00,29,SC Paderborn 07,1,1. FC Köln,2002,25,None,None,SCHEDULED,None
2020-03-14,00:00:00,1,1. FC Köln,15,1. FSV Mainz 05,2002,26,None,None,SCHEDULED,None
2020-03-14,00:00:00,19,Eintracht Frankfurt,18,Borussia Mönchengladbach,2002,26,None,None,SCHEDULED,None
2020-03-14,00:00:00,4,BV Borussia 09 Dortmund,6,FC Schalke 04,2002,26,None,None,SCHEDULED,None
2020-03-14,00:00:00,12,SV Werder Bremen,3,Bayer 04 Leverkusen,2002,26,None,None,SCHEDULED,None
2020-03-14,00:00:00,24,TSV Fortuna 95 Düsseldorf,29,SC Paderborn 07,2002,26,None,None,SCHEDULED,None
2020-03-14,00:00:00,2,TSG 1899 Hoffenheim,9,Hertha BSC,2002,26,None,None,SCHEDULED,None
2020-03-14,00:00:00,16,FC Augsburg,11,VfL Wolfsburg,2002,26,None,None,SCHEDULED,None
2020-03-14,00:00:00,28,1. FC Union Berlin,5,FC Bayern München,2002,26,None,None,SCHEDULED,None
2020-03-14,00:00:00,721,RB Leipzig,17,SC Freiburg,2002,26,None,None,SCHEDULED,None
2020-03-21,00:00:00,1,1. FC Köln,24,TSV Fortuna 95 Düsseldorf,2002,27,None,None,SCHEDULED,None
2020-03-21,00:00:00,6,FC Schalke 04,16,FC Augsburg,2002,27,None,None,SCHEDULED,None
