match_id,match_date,match_time,home_team_id,home_team_name,away_team_id,away_team_name,league_id,match_day,home_team_score,away_team_score,status,Winner
271412,2019-08-16,18:30:00,5,FC Bayern München,9,Hertha BSC,2002,1,2,2,FINISHED,DRAW
271414,2019-08-17,13:30:00,4,BV Borussia 09 Dortmund,16,FC Augsburg,2002,1,5,1,FINISHED,HOME_TEAM
271415,2019-08-17,13:30:00,12,SV Werder Bremen,24,TSV Fortuna 95 Düsseldorf,2002,1,1,3,FINISHED,AWAY_TEAM
271417,2019-08-17,13:30:00,3,Bayer 04 Leverkusen,29,SC Paderborn 07,2002,1,3,2,FINISHED,HOME_TEAM
271418,2019-08-17,13:30:00,17,SC Freiburg,15,1. FSV Mainz 05,2002,1,3,0,FINISHED,HOME_TEAM
271419,2019-08-17,13:30:00,11,VfL Wolfsburg,1,1. FC Köln,2002,1,2,1,FINISHED,HOME_TEAM
271416,2019-08-17,16:30:00,18,Borussia Mönchengladbach,6,FC Schalke 04,2002,1,0,0,FINISHED,DRAW
271413,2019-08-18,13:30:00,19,Eintracht Frankfurt,2,TSG 1899 Hoffenheim,2002,1,1,0,FINISHED,HOME_TEAM
271420,2019-08-18,16:00:00,28,1. FC Union Berlin,721,RB Leipzig,2002,1,0,4,FINISHED,AWAY_TEAM
271421,2019-08-23,18:30:00,1,1. FC Köln,4,BV Borussia 09 Dortmund,2002,2,1,3,FINISHED,AWAY_TEAM
271424,2019-08-24,13:30:00,24,TSV Fortuna 95 Düsseldorf,3,Bayer 04 Leverkusen,2002,2,1,3,FINISHED,AWAY_TEAM
271425,2019-08-24,13:30:00,15,1. FSV Mainz 05,18,Borussia Mönchengladbach,2002,2,1,3,FINISHED,AWAY_TEAM
271426,2019-08-24,13:30:00,2,TSG 1899 Hoffenheim,12,SV Werder Bremen,2002,2,3,2,FINISHED,HOME_TEAM
271427,2019-08-24,13:30:00,16,FC Augsburg,28,1. FC Union Berlin,2002,2,1,1,FINISHED,DRAW
