betradar_id,league_id,name,short_name,crest_url,team_abbreviation
4,2002,BV Borussia 09 Dortmund,Dortmund,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg,BVB
5,2002,FC Bayern München,Bayern M,https://upload.wikimedia.org/wikipedia/commons/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg,FCB
6,2002,FC Schalke 04,Schalke,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg,S04
9,2002,Hertha BSC,Hertha BSC,https://upload.wikimedia.org/wikipedia/commons/8/81/Hertha_BSC_Logo_2012.svg,BSC
11,2002,VfL Wolfsburg,Wolfsburg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Logo-VfL-Wolfsburg.svg,WOB
12,2002,SV Werder Bremen,Bremen,http://upload.wikimedia.org/wikipedia/commons/b/be/SV-Werder-Bremen-Logo.svg,SVW
15,2002,1. FSV Mainz 05,Mainz,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg,M05
16,2002,FC Augsburg,Augsburg,http://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg,FCA
17,2002,SC Freiburg,Freiburg,http://upload.wikimedia.org/wikipedia/de/f/f1/SC-Freiburg_Logo-neu.svg,SCF
18,2002,Borussia Mönchengladbach,M'gladbach,https://upload.wikimedia.org/wikipedia/commons/8/81/Borussia_M%C3%B6nchengladbach_logo.svg,BMG
19,2002,Eintracht Frankfurt,Frankfurt,http://upload.wikimedia.org/wikipedia/commons/0/04/Eintracht_Frankfurt_Logo.svg,SGE
24,2002,TSV Fortuna 95 Düsseldorf,Düsseldorf,http://upload.wikimedia.org/wikipedia/commons/9/94/Fortuna_D%C3%BCsseldorf.svg,F95
28,2002,1. FC Union Berlin,Union Berlin,https://upload.wikimedia.org/wikipedia/commons/6/68/1._FC_Union_Berlin_1966_-_1990.gif,UNB
29,2002,SC Paderborn 07,SC Paderborn,https://upload.wikimedia.org/wikipedia/commons/e/e3/SC_Paderborn_07_Logo.svg,SCP
721,2002,RB Leipzig,RB Leipzig,https://upload.wikimedia.org/wikipedia/en/0/04/RB_Leipzig_2014_logo.svg,RBL
98,2019,AC Milan,Milan,http://upload.wikimedia.org/wikipedia/de/9/9e/AC_Mailand_Logo.svg,MIL
99,2019,ACF Fiorentina,Fiorentina,https://upload.wikimedia.org/wikipedia/commons/7/79/ACF_Fiorentina.svg,FIO
100,2019,AS Roma,Roma,http://upload.wikimedia.org/wikipedia/de/3/32/AS_Rom.svg,ROM
102,2019,Atalanta BC,Atalanta,http://upload.wikimedia.org/wikipedia/de/2/28/Atalanta_BC.svg,ATA
103,2019,Bologna FC 1909,Bologna,http://upload.wikimedia.org/wikipedia/de/9/92/FC_Bologna.svg,BOL
104,2019,Cagliari Calcio,Cagliari,http://upload.wikimedia.org/wikipedia/de/3/3d/Cagliari_Calcio.svg,CAG
107,2019,Genoa CFC,Genoa,http://upload.wikimedia.org/wikipedia/de/7/76/Genoa_CFC.svg,GEN
108,2019,FC Internazionale Milano,Inter,https://upload.wikimedia.org/wikipedia/de/4/48/Internazionale_Milano_2014.svg,INT
109,2019,Juventus FC,Juve,http://upload.wikimedia.org/wikipedia/de/d/d2/Juventus_Turin.svg,JUV
110,2019,SS Lazio,Lazio,http://upload.wikimedia.org/wikipedia/de/thumb/4/47/Lazio_Rom.svg/500px-Lazio_Rom.svg.png,LAZ
112,2019,Parma Calcio 1913,Parma,http://upload.wikimedia.org/wikipedia/de/e/e2/FC_Parma.svg,PAR
113,2019,SSC Napoli,Napoli,http://upload.wikimedia.org/wikipedia/commons/2/28/S.S.C._Napoli_logo.svg,NAP
115,2019,Udinese Calcio,Udinese,http://upload.wikimedia.org/wikipedia/de/b/b1/Udinese_Calcio.svg,UDI
449,2019,Brescia Calcio,Brescia,http://upload.wikimedia.org/wikipedia/de/2/23/Brescia_Calcio.svg,BRE
450,2019,Hellas Verona FC,Verona,http://upload.wikimedia.org/wikipedia/de/a/a2/Hellas_Verona_1903_FC.svg,VER
471,2019,US Sassuolo Calcio,Sassuolo,http://upload.wikimedia.org/wikipedia/de/a/a3/US_Sassuolo_Calcio.svg,SAS
584,2019,UC Sampdoria,Sampdoria,https://upload.wikimedia.org/wikipedia/de/9/9f/Sampdoria_Logo.png,SAM
586,2019,Torino FC,Torino,http://upload.wikimedia.org/wikipedia/de/2/2e/Torino_FC_Logo.svg,TOR
1107,2019,SPAL 2013,SPAL 2013,https://upload.wikimedia.org/wikipedia/de/e/e7/SPAL_Ferrara.svg,SPA
5890,2019,US Lecce,Lecce,https://upload.wikimedia.org/wikipedia/de/c/c7/US_Lecce.svg,LEC
77,2014,Athletic Club,Athletic,https://upload.wikimedia.org/wikipedia/en/9/98/Club_Athletic_Bilbao_logo.svg,ATH
78,2014,Club Atlético de Madrid,Atleti,http://upload.wikimedia.org/wikipedia/de/c/c1/Atletico_Madrid_logo.svg,ATM
79,2014,CA Osasuna,Osasuna,http://upload.wikimedia.org/wikipedia/de/c/ca/Atletico_Osasuna.svg,OSA
80,2014,RCD Espanyol de Barcelona,Espanyol,http://upload.wikimedia.org/wikipedia/de/a/a7/RCD_Espanyol_De_Barcelona.svg,ESP
81,2014,FC Barcelona,Barça,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg,FCB
82,2014,Getafe CF,Getafe,https://upload.wikimedia.org/wikipedia/en/7/7f/Getafe_logo.png,GET
83,2014,Granada CF,Granada,http://upload.wikimedia.org/wikipedia/de/d/d3/Granada_CF.svg,GRA
86,2014,Real Madrid CF,Real Madrid,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg,RMA
88,2014,Levante UD,Levante,http://upload.wikimedia.org/wikipedia/de/1/1f/Levante_ud.svg,LEV
89,2014,RCD Mallorca,Mallorca,http://upload.wikimedia.org/wikipedia/de/e/e0/Rcd_mallorca.svg,MAL
90,2014,Real Betis Balompié,Real Betis,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg,BET
92,2014,Real Sociedad de Fútbol,Real Sociedad,http://upload.wikimedia.org/wikipedia/de/5/55/Real_Sociedad_San_Sebasti%C3%A1n.svg,RSO
94,2014,Villarreal CF,Villarreal,http://upload.wikimedia.org/wikipedia/de/7/70/Villarreal_CF_logo.svg,VIL
95,2014,Valencia CF,Valencia,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg,VAL
250,2014,Real Valladolid CF,Valladolid,http://upload.wikimedia.org/wikipedia/de/6/6e/Real_Valladolid_Logo.svg,VLD
263,2014,Deportivo Alavés,Alavés,http://upload.wikimedia.org/wikipedia/en/2/2e/Deportivo_Alaves_logo.svg,ALA
278,2014,SD Eibar,Eibar,http://upload.wikimedia.org/wikipedia/en/7/75/SD_Eibar_logo.svg,EIB
558,2014,RC Celta de Vigo,Celta,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg,CEL
559,2014,Sevilla FC,Sevilla FC,https://upload.wikimedia.org/wikipedia/de/c/c0/FC_Sevilla.svg,SEV
745,2014,CD Leganés,Leganés,http://upload.wikimedia.org/wikipedia/en/thumb/0/02/Club_Deportivo_Legan%C3%A9s.png/180px-Club_Deportivo_Legan%C3%A9s.png,LEG
3,2001,Bayer 04 Leverkusen,Leverkusen,https://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg,B04
4,2001,BV Borussia 09 Dortmund,Dortmund,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg,BVB
5,2001,FC Bayern München,Bayern M,https://upload.wikimedia.org/wikipedia/commons/1/1b/FC_Bayern_M%C3%BCnchen_logo_%282017%29.svg,FCB
61,2001,Chelsea FC,Chelsea,http://upload.wikimedia.org/wikipedia/de/5/5c/Chelsea_crest.svg,CHE
64,2001,Liverpool FC,Liverpool,http://upload.wikimedia.org/wikipedia/de/0/0a/FC_Liverpool.svg,LIV
65,2001,Manchester City FC,Man City,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg,MCI
73,2001,Tottenham Hotspur FC,Tottenham,http://upload.wikimedia.org/wikipedia/de/b/b4/Tottenham_Hotspur.svg,TOT
78,2001,Club Atlético de Madrid,Atleti,http://upload.wikimedia.org/wikipedia/de/c/c1/Atletico_Madrid_logo.svg,ATM
